Event,RunTime,ADC,SiPM,DownTime,Temp,Time_stamp_ms,Time_stamp,Time_stamp2,Time_stamp3
1,3870,398,85.63,929,26.91,1720448196870.0,2024-07-08 14:16:36.870,2024-07-08 14:16:36,2024-07-08 14:16:00
2,16684,529,156.43,3333,26.7,1720448209684.0,2024-07-08 14:16:49.684,2024-07-08 14:16:49,2024-07-08 14:16:00
3,44354,556,174.47,8571,27.13,1720448237354.0,2024-07-08 14:17:17.354,2024-07-08 14:17:17,2024-07-08 14:17:00
4,54773,728,431.28,10451,26.81,1720448247773.0,2024-07-08 14:17:27.773,2024-07-08 14:17:27,2024-07-08 14:17:00
5,58420,423,97.36,11205,27.34,1720448251420.0,2024-07-08 14:17:31.420,2024-07-08 14:17:31,2024-07-08 14:17:00
6,70556,515,147.53,13430,26.81,1720448263556.0,2024-07-08 14:17:43.556,2024-07-08 14:17:43,2024-07-08 14:17:00
7,72284,583,201.26,13807,27.13,1720448265284.0,2024-07-08 14:17:45.284,2024-07-08 14:17:45,2024-07-08 14:17:00
8,80729,519,154.3,15306,26.48,1720448273729.0,2024-07-08 14:17:53.729,2024-07-08 14:17:53,2024-07-08 14:17:00
9,134894,568,189.84,25392,26.81,1720448327894.0,2024-07-08 14:18:47.894,2024-07-08 14:18:47,2024-07-08 14:18:00
10,135841,551,164.56,25584,26.48,1720448328841.0,2024-07-08 14:18:48.841,2024-07-08 14:18:48,2024-07-08 14:18:00
11,140657,519,154.3,26527,26.7,1720448333657.0,2024-07-08 14:18:53.657,2024-07-08 14:18:53,2024-07-08 14:18:00
12,145678,563,181.65,27464,26.91,1720448338678.0,2024-07-08 14:18:58.678,2024-07-08 14:18:58,2024-07-08 14:18:00
13,150468,513,148.53,28413,26.91,1720448343468.0,2024-07-08 14:19:03.468,2024-07-08 14:19:03,2024-07-08 14:19:00
14,163461,524,150.73,30846,26.91,1720448356461.0,2024-07-08 14:19:16.461,2024-07-08 14:19:16,2024-07-08 14:19:00
15,171859,704,326.52,32342,26.81,1720448364859.0,2024-07-08 14:19:24.859,2024-07-08 14:19:24,2024-07-08 14:19:00
16,173342,711,380.66,32722,26.91,1720448366342.0,2024-07-08 14:19:26.342,2024-07-08 14:19:26,2024-07-08 14:19:00
17,191806,537,162.17,36101,27.13,1720448384806.0,2024-07-08 14:19:44.806,2024-07-08 14:19:44,2024-07-08 14:19:00
